Original_Index,date_time,date,common_name,scientific_name,group_size,latitude,longitude,ssha
91,2025/03/04 13:02:20,2025-03-04,Sperm whale,Physeter macrocephalus,1,37.04632,-74.59676,0.12127203457912196
92,2025/03/04 13:10:54,2025-03-04,Fin whale,Balaenoptera physalus,1,37.3009,-74.59182,0.12127203457912196
95,2025/03/09 12:41:06,2025-03-09,Humpback whale,Megaptera novaeangliae,1,37.63767,-74.38167,0.11701505086021982
97,2025/03/09 12:42:37,2025-03-09,Humpback whale,Megaptera novaeangliae,1,37.66205,-74.3774,0.11701505086021982
100,2025/03/09 11:37:00,2025-03-09,Humpback whale,Megaptera novaeangliae,1,37.5081,-74.4053,0.11701505086021982
93,2025/03/11 11:37:18,2025-03-11,Humpback whale,Megaptera novaeangliae,1,38.97775,-72.91418,0.12170891859191993
94,2025/03/11 11:38:14,2025-03-11,Humpback whale,Megaptera novaeangliae,1,38.95405,-72.92646,0.12170891859191993
96,2025/03/11 11:48:24,2025-03-11,Fin whale,Balaenoptera physalus,1,38.90687,-72.92903,0.12170891859191993
98,2025/03/11 15:42:47,2025-03-11,Humpback whale,Megaptera novaeangliae,1,38.78159,-73.16284,0.12170891859191993
99,2025/03/11 15:44:54,2025-03-11,Humpback whale,Megaptera novaeangliae,1,38.73944,-73.18727,0.12170891859191993
103,2025/03/11 14:10:02,2025-03-11,Humpback whale,Megaptera novaeangliae,1,38.82424,-72.97037,0.12170891859191993
104,2025/03/11 14:12:17,2025-03-11,Fin whale,Balaenoptera physalus,2,38.80724,-73.04831,0.12170891859191993
105,2025/03/11 14:13:14,2025-03-11,Fin whale,Balaenoptera physalus,2,38.79278,-73.06293,0.12170891859191993
106,2025/03/11 14:18:05,2025-03-11,Humpback whale,Megaptera novaeangliae,1,38.79443,-73.09417,0.12170891859191993
63,2025/03/19 11:11:27,2025-03-19,Humpback whale,Megaptera novaeangliae,1,38.61398,-73.29725,0.18756449548502532
69,2025/03/23 12:41:18,2025-03-23,Humpback whale,Megaptera novaeangliae,1,37.25867,-74.55983,0.2161293096427357
70,2025/03/23 12:42:35,2025-03-23,Humpback whale,Megaptera novaeangliae,2,37.22707,-74.53243,0.2161293096427357
71,2025/03/23 12:45:23,2025-03-23,Common minke whale,Balaenoptera acutorostrata,1,37.1985,-74.58969,0.2161293096427357
72,2025/03/23 12:46:03,2025-03-23,Common minke whale,Balaenoptera acutorostrata,1,37.1857,-74.60767,0.2161293096427357
73,2025/03/23 17:03:12,2025-03-23,Fin whale,Balaenoptera physalus,2,38.19398,-74.43439,0.19798984826582508
74,2025/03/23 15:11:46,2025-03-23,Humpback whale,Megaptera novaeangliae,3,37.40961,-74.55548,0.2161293096427357
75,2025/03/23 15:12:42,2025-03-23,Humpback whale,Megaptera novaeangliae,3,37.38307,-74.55037,0.2161293096427357
76,2025/03/23 15:16:42,2025-03-23,Fin whale,Balaenoptera physalus,2,37.39766,-74.52956,0.2161293096427357
77,2025/03/23 15:17:32,2025-03-23,Fin whale,Balaenoptera physalus,2,37.40942,-74.51557,0.2161293096427357
78,2025/03/23 15:28:11,2025-03-23,Fin whale,Balaenoptera physalus,1,37.4434,-74.46194,0.2161293096427357
79,2025/03/23 15:29:04,2025-03-23,Fin whale,Balaenoptera physalus,1,37.42966,-74.46908,0.2161293096427357
87,2025/03/23 14:06:57,2025-03-23,Humpback whale,Megaptera novaeangliae,1,37.33264,-74.55562,0.2161293096427357
101,2025/03/19 15:17:28,2025-03-19,Fin whale,Balaenoptera physalus,2,38.4642,-73.48421,0.19798984826582508
102,2025/03/19 15:18:35,2025-03-19,Fin whale,Balaenoptera physalus,2,38.47909,-73.45693,0.19798984826582508
64,2025/03/25 10:32:07,2025-03-25,Fin whale,Balaenoptera physalus,3,38.24397,-73.67499,0.1989692744194982
65,2025/03/25 10:32:38,2025-03-25,Fin whale,Balaenoptera physalus,3,38.25499,-73.67715,0.1989692744194982
66,2025/03/28 13:44:35,2025-03-28,Humpback whale,Megaptera novaeangliae,1,39.01514,-72.87994,0.17355680409746496
67,2025/03/28 13:47:26,2025-03-28,Humpback whale,Megaptera novaeangliae,3,39.02059,-72.87224,0.17355680409746496
68,2025/03/28 13:50:51,2025-03-28,Humpback whale,Megaptera novaeangliae,2,38.95213,-72.8262,0.1882378708545628
