Original_Index_x,latitude,longitude,date_time,date,common_name,scientific_name,group_size,chlor_a_mean,chlor_a_median,chlor_a_std,chlor_a_min,chlor_a_max,chlor_a_q25,chlor_a_q75,Original_Index_y,synechococcus_mean,synechococcus_median,synechococcus_std,synechococcus_min,synechococcus_max,synechococcus_q25,synechococcus_q75,prochlorococcus_mean,prochlorococcus_median,prochlorococcus_std,prochlorococcus_min,prochlorococcus_max,prochlorococcus_q25,prochlorococcus_q75,picoeukaryotes_mean,picoeukaryotes_median,picoeukaryotes_std,picoeukaryotes_min,picoeukaryotes_max,picoeukaryotes_q25,picoeukaryotes_q75
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7260156273841858,0.7241357564926147,0.0343080572783947,0.6670859456062317,0.7887639403343201,0.7071048617362976,0.7393504977226257,43,335810.8888888889,338253.0,54179.31340659345,240317.0,399644.0,307615.0,391838.0,5589.666666666667,0.0,11959.629239886808,0.0,37464.0,0.0,0.0,125743.77777777778,131667.0,32460.916389398284,72648.0,182434.0,107649.0,144343.0
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8187021017074585,0.8086672425270081,0.0621980428695678,0.7461256980895996,0.9348498582839966,0.7690730690956116,0.8398092985153198,44,324466.77777777775,374045.0,127899.21235599517,185784.0,532061.0,189115.0,401142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135083.66666666666,137342.0,14447.489870408477,111174.0,158822.0,131667.0,140940.0
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8340909481048584,0.820704996585846,0.0721351951360702,0.7461256980895996,0.9362435936927797,0.7606422305107117,0.9064173698425292,45,305229.8888888889,220112.0,127977.39105226051,185784.0,532061.0,192511.0,401142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147796.11111111112,140940.0,29423.524237303896,111174.0,219780.0,137342.0,156505.0
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.880548357963562,0.8900905251502991,0.0443249605596065,0.8086672425270081,0.9362435936927797,0.8426329493522644,0.9066671133041382,46,318937.8888888889,374045.0,118453.07744836203,185784.0,490667.0,192511.0,401142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149428.88888888888,140940.0,30589.8397236891,111174.0,219780.0,137342.0,156505.0
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.7505211234092712,0.7484056353569031,0.0286299381405115,0.7249209880828857,0.8258730173110962,0.7284390926361084,0.7501581907272339,47,133131.55555555556,130933.0,52766.34586365129,41582.0,201049.0,106730.0,184616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173774.77777777778,168698.0,44575.51702392937,95738.0,246352.0,153630.0,183423.0
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.7699346542358398,0.7484119534492493,0.0546198077499866,0.7249209880828857,0.899338960647583,0.7279811501502991,0.7757834196090698,48,120802.44444444444,109755.0,42870.83805290054,41582.0,186813.0,95229.0,160482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175401.11111111112,160505.0,38633.38961297151,135110.0,246352.0,153630.0,175593.0
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.8719072341918945,0.8859316110610962,0.0466829314827919,0.7757834196090698,0.9390612840652466,0.848701536655426,0.9027146697044371,49,185824.55555555556,171801.0,60313.961037430556,95229.0,328458.0,155676.0,194612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150652.44444444444,144861.0,42988.204612457,99949.0,244907.0,112416.0,175593.0
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.8538726568222046,0.857552170753479,0.0596148557960987,0.7546612620353699,0.9390612840652466,0.8243612051010132,0.9027146697044371,50,150266.11111111112,155676.0,31432.22559180818,95229.0,194612.0,130933.0,171801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160241.44444444444,144861.0,50498.68038124277,99949.0,246352.0,121194.0,175593.0
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,0.7198441028594971,0.7043363451957703,0.0621152520179748,0.6471495032310486,0.8344593644142151,0.6652272939682007,0.7479995489120483,51,302336.55555555556,257819.0,131612.20175965712,176080.0,549609.0,187843.0,398656.0,5400.222222222223,0.0,7972.672252106327,0.0,24358.0,0.0,5833.0,87945.66666666667,77673.0,29651.84894740967,55612.0,157749.0,69913.0,98778.0
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,0.723049521446228,0.7227020859718323,0.0060699814930558,0.7138290405273438,0.7340380549430847,0.7213995456695557,0.7266022562980652,52,169813.66666666666,167582.0,60529.762288205515,88116.0,283558.0,115471.0,213927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132491.66666666666,130062.0,19839.03319216942,99500.0,168698.0,121853.0,135110.0
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,0.723049521446228,0.7227020859718323,0.0060699814930558,0.7138290405273438,0.7340380549430847,0.7213995456695557,0.7266022562980652,53,169813.66666666666,167582.0,60529.762288205515,88116.0,283558.0,115471.0,213927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132491.66666666666,130062.0,19839.03319216942,99500.0,168698.0,121853.0,135110.0
4,38.80395,-72.99513,2025/02/26 11:45:26,2025-02-26,Humpback whale,Megaptera novaeangliae,2,0.6342493891716003,0.6335242986679077,0.0149996392428874,0.6142672300338745,0.6617860794067383,0.626293420791626,0.6424503326416016,54,89410.77777777778,85826.0,29031.859877565843,63132.0,152925.0,64456.0,93577.0,11993.555555555555,13918.0,4452.538180287012,1865.0,16299.0,11241.0,15223.0,32473.88888888889,30288.0,5713.991180416411,25853.0,43260.0,27684.0,36579.0
6,38.81244,-73.00711,2025/02/26 11:46:17,2025-02-26,Humpback whale,Megaptera novaeangliae,2,0.6451141238212585,0.6442347764968872,0.0160222109407186,0.6142672300338745,0.6720353364944458,0.6340295672416687,0.6522801518440247,55,108271.66666666667,103031.0,34525.07711472601,63132.0,171060.0,85826.0,123671.0,13858.0,15151.0,4969.022774483262,1865.0,21474.0,13124.0,15328.0,34865.555555555555,35225.0,7278.593715075447,25853.0,48894.0,28219.0,37788.0
