latitude,longitude,date_time,date,common_name,scientific_name,group_size,carbon_phyto_mean,carbon_phyto_median,carbon_phyto_std,carbon_phyto_min,carbon_phyto_max,carbon_phyto_q25,carbon_phyto_q75,chlor_a_mean,chlor_a_median,chlor_a_std,chlor_a_min,chlor_a_max,chlor_a_q25,chlor_a_q75,synechococcus_mean,synechococcus_median,synechococcus_std,synechococcus_min,synechococcus_max,synechococcus_q25,synechococcus_q75,prochlorococcus_mean,prochlorococcus_median,prochlorococcus_std,prochlorococcus_min,prochlorococcus_max,prochlorococcus_q25,prochlorococcus_q75,picoeukaryotes_mean,picoeukaryotes_median,picoeukaryotes_std,picoeukaryotes_min,picoeukaryotes_max,picoeukaryotes_q25,picoeukaryotes_q75,depth_m
38.28309,-74.29529,2025/03/25 11:56:47,2025-03-25,Common minke whale,Balaenoptera acutorostrata,1,30.52893829345703,30.57492446899414,0.8569589853286743,29.35091781616211,31.81880187988281,29.72687339782715,31.020347595214844,0.6360401511192322,0.6304149627685547,0.0291291642934083,0.5937376618385315,0.695457935333252,0.6126782894134521,0.653407871723175,3550.555555555556,3423.0,444.4127488698143,2914.0,4134.0,3243.0,4092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7979.555555555556,7514.0,841.294255710425,7124.0,9857.0,7393.0,8395.0,50.0
38.28309,-74.29529,2025/03/25 11:56:47,2025-03-25,Common minke whale,Balaenoptera acutorostrata,1,30.52893829345703,30.57492446899414,0.8569589853286743,29.35091781616211,31.81880187988281,29.72687339782715,31.020347595214844,0.7727572917938232,0.7799386382102966,0.0830390304327011,0.6488400101661682,0.9174200296401978,0.712917149066925,0.8263933062553406,3550.555555555556,3423.0,444.4127488698143,2914.0,4134.0,3243.0,4092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7979.555555555556,7514.0,841.294255710425,7124.0,9857.0,7393.0,8395.0,50.0
38.04273,-73.90911,2025/03/25 12:14:33,2025-03-25,Fin whale,Balaenoptera physalus,1,26.865650177001957,27.20789337158203,1.1164435148239136,24.633583068847656,28.55503845214844,26.513633728027344,27.336584091186523,0.7354928851127625,0.733579158782959,0.0110994251444935,0.7225753664970398,0.7583921551704407,0.7270320057868958,0.7360308766365051,36771.77777777778,33671.0,14597.575603714911,15963.0,62952.0,28241.0,46713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10072.555555555557,10077.0,587.7843729938747,9276.0,11175.0,9557.0,10312.0,135.0
38.04273,-73.90911,2025/03/25 12:14:33,2025-03-25,Fin whale,Balaenoptera physalus,1,26.865650177001957,27.20789337158203,1.1164435148239136,24.633583068847656,28.55503845214844,26.513633728027344,27.336584091186523,0.6929810047149658,0.6924772262573242,0.0077757085673511,0.6816262602806091,0.7101552486419678,0.6883479356765747,0.6965888738632202,36771.77777777778,33671.0,14597.575603714911,15963.0,62952.0,28241.0,46713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10072.555555555557,10077.0,587.7843729938747,9276.0,11175.0,9557.0,10312.0,135.0
38.04273,-73.90911,2025/03/25 12:14:33,2025-03-25,Fin whale,Balaenoptera physalus,1,26.865650177001957,27.20789337158203,1.1164435148239136,24.633583068847656,28.55503845214844,26.513633728027344,27.336584091186523,0.4501981735229492,0.4475120902061462,0.0063621648587286,0.4424349367618561,0.4599614143371582,0.4454371035099029,0.4581238329410553,36771.77777777778,33671.0,14597.575603714911,15963.0,62952.0,28241.0,46713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10072.555555555557,10077.0,587.7843729938747,9276.0,11175.0,9557.0,10312.0,135.0
38.15058,-74.15977,2025/03/25 12:22:37,2025-03-25,Common minke whale,Balaenoptera acutorostrata,1,29.79355239868164,29.906230926513672,0.8620299696922302,27.796295166015625,30.994251251220703,29.46770477294922,30.181900024414062,0.6818111538887024,0.6836697459220886,0.0191280357539653,0.6470208168029785,0.7065146565437317,0.6774151921272278,0.6981014013290405,7487.222222222223,7246.0,1433.30905233525,5311.0,10870.0,6860.0,7739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9942.333333333334,9768.0,731.1537306051155,8842.0,11381.0,9468.0,10363.0,65.0
38.15058,-74.15977,2025/03/25 12:22:37,2025-03-25,Common minke whale,Balaenoptera acutorostrata,1,29.79355239868164,29.906230926513672,0.8620299696922302,27.796295166015625,30.994251251220703,29.46770477294922,30.181900024414062,0.6531808972358704,0.6539512872695923,0.0181279201060533,0.6248049736022949,0.6838417053222656,0.6361706256866455,0.6659711003303528,7487.222222222223,7246.0,1433.30905233525,5311.0,10870.0,6860.0,7739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9942.333333333334,9768.0,731.1537306051155,8842.0,11381.0,9468.0,10363.0,65.0
38.15058,-74.15977,2025/03/25 12:22:37,2025-03-25,Common minke whale,Balaenoptera acutorostrata,1,29.79355239868164,29.906230926513672,0.8620299696922302,27.796295166015625,30.994251251220703,29.46770477294922,30.181900024414062,0.5159801244735718,0.5201852321624756,0.0132199255749583,0.4937397539615631,0.5392274856567383,0.5073608756065369,0.5222059488296509,7487.222222222223,7246.0,1433.30905233525,5311.0,10870.0,6860.0,7739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9942.333333333334,9768.0,731.1537306051155,8842.0,11381.0,9468.0,10363.0,65.0
38.18413,-74.23932,2025/03/25 12:25:05,2025-03-25,Humpback whale,Megaptera novaeangliae,1,30.457773208618164,30.33045768737793,1.1358788013458252,28.67136001586914,32.35277557373047,29.46770477294922,31.588966369628903,0.6611302495002747,0.657630205154419,0.0221876334398984,0.6193456649780273,0.6982104778289795,0.6517021059989929,0.6714057922363281,5981.0,6204.0,1981.376513661371,2914.0,8929.0,5055.0,7648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9226.888888888889,9491.0,626.8181456007164,7625.0,9837.0,9205.0,9541.0,41.0
38.18413,-74.23932,2025/03/25 12:25:05,2025-03-25,Humpback whale,Megaptera novaeangliae,1,30.457773208618164,30.33045768737793,1.1358788013458252,28.67136001586914,32.35277557373047,29.46770477294922,31.588966369628903,0.6119078397750854,0.6096073985099792,0.0137271312996745,0.5937376618385315,0.6361706256866455,0.598517656326294,0.6230489611625671,5981.0,6204.0,1981.376513661371,2914.0,8929.0,5055.0,7648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9226.888888888889,9491.0,626.8181456007164,7625.0,9837.0,9205.0,9541.0,41.0
